Problem No.,Search Algorithm,Actions,Expansions,Goal Tests,New Nodes,Path Length,Time in seconds
1,1,20,43,56,178,6,0.039
1,2,20,21,22,84,20,0.013
1,3,20,60,62,240,6,0.038
1,4,20,7,9,29,6,0.004
1,5,20,6,8,28,6,0.435
1,6,20,6,8,24,6,0.194
1,7,20,6,8,28,6,1.009
1,8,20,50,52,206,6,0.026
1,9,20,28,30,122,6,0.436
1,10,20,43,45,180,6,0.217
1,11,20,33,35,138,6,0.607
2,1,72,3343,4609,30503,9,0.596
2,2,72,624,625,5602,619,0.801
2,3,72,5154,5156,46618,9,1.201
2,4,72,17,19,170,9,0.044
2,5,72,9,11,86,9,0.480
2,6,72,27,29,249,9,0.755
2,7,72,9,11,84,9,1.996
2,8,72,2467,2469,22522,9,1.177
2,9,72,357,359,3426,9,11.382
2,10,72,2887,2889,26594,9,65.078
2,11,72,1037,1039,9605,9,161.149
3,1,88,14663,18098,129625,12,1.708
3,2,88,408,409,3364,392,0.410
3,3,88,18510,18512,161936,12,2.842
3,4,88,25,27,230,15,0.087
3,5,88,14,16,126,14,2.172
3,6,88,21,23,195,13,1.097
3,7,88,35,37,345,17,11.383
3,8,88,7388,7390,65711,12,2.421
3,9,88,369,371,3403,12,21.490
3,10,88,9580,9582,86312,12,355.126
3,11,88,3423,3425,31596,12,846.396
4,1,104,99736,114953,944130,14,10.872
4,2,104,35174,25175,228849,24132,1511.397
4,3,104,113339,113341,1066413,14,15.650
4,4,104,29,31,280,18,0.099
4,5,104,17,19,165,17,2.843
4,6,104,56,58,580,17,4.332
4,7,104,107,109,1164,23,45.807
4,8,104,34330,34332,328509,14,8.523
4,9,104,1208,1210,12210,15,106.505
4,10,104,62077,62079,599376,14,3601.940
4,11,104,22606,22608,224229,14,9314.945
